E [GeV] Edge 1,E [GeV] Edge 2,E,E sig,N,N sig,Flux,Stat sig,Template sig,C.C. sig,Efficiency sig,Unfolding sig,Syst sig,Order,Total sig
5.49,6,5.74,0.11,72564,287,6.278,0.025,0.026,0.002,0.068,0.021,0.076,1.00E-02,0.101
6,6.54,6.26,0.12,67597,276,4.923,0.02,0.021,0.002,0.054,0.015,0.06,1.00E-02,0.08
6.54,7.1,6.81,0.13,60745,261,3.89,0.017,0.017,0.001,0.043,0.012,0.048,1.00E-02,0.065
7.1,7.69,7.39,0.14,53538,246,3.018,0.014,0.013,0.001,0.034,0.009,0.037,1.00E-02,0.051
7.69,8.3,7.99,0.15,47132,230,2.406,0.012,0.01,0.001,0.027,0.006,0.03,1.00E-02,0.042
8.3,8.95,8.62,0.16,42041,218,1.9,0.01,0.008,0.001,0.022,0.005,0.024,1.00E-02,0.034
8.95,9.62,9.28,0.18,36843,203,1.53,0.008,0.007,0.001,0.018,0.004,0.019,1.00E-02,0.027
9.62,10.32,9.96,0.19,32889,193,1.242,0.007,0.005,0,0.015,0.003,0.016,1.00E-02,0.023
10.32,11.04,10.67,0.2,28518,179,1.007,0.006,0.004,0,0.012,0.002,0.013,1.00E-02,0.019
11.04,11.8,11.41,0.22,25852,170,8.302,0.055,0.037,0.003,0.1,0.017,0.108,1.00E-03,0.163
11.8,12.59,12.19,0.23,23378,162,6.918,0.048,0.031,0.002,0.084,0.014,0.09,1.00E-03,0.138
12.59,13.41,12.99,0.25,20709,152,5.668,0.042,0.025,0.002,0.069,0.011,0.075,1.00E-03,0.117
13.41,14.25,13.82,0.26,18103,142,4.643,0.037,0.021,0.002,0.057,0.009,0.061,1.00E-03,0.098
14.25,15.14,14.69,0.28,16624,137,3.864,0.032,0.017,0.001,0.048,0.008,0.051,1.00E-03,0.083
15.14,16.05,15.59,0.29,15015,130,3.262,0.028,0.015,0.001,0.041,0.007,0.044,1.00E-03,0.072
16.05,17,16.52,0.31,13638,124,2.718,0.025,0.012,0.001,0.034,0.005,0.037,1.00E-03,0.062
17,17.98,17.48,0.33,12414,118,2.293,0.022,0.011,0.001,0.029,0.005,0.031,1.00E-03,0.053
17.98,18.99,18.48,0.35,11371,113,1.933,0.019,0.009,0.001,0.025,0.004,0.026,1.00E-03,0.045
18.99,20.04,19.51,0.37,10708,110,1.666,0.017,0.008,0.001,0.021,0.003,0.023,1.00E-03,0.04
20.04,21.13,20.58,0.39,9985,106,1.454,0.015,0.007,0,0.019,0.003,0.02,1.00E-03,0.035
21.13,22.25,21.68,0.41,8861,100,1.214,0.014,0.006,0,0.016,0.002,0.017,1.00E-03,0.031
22.25,23.42,22.83,0.43,7974,95,1.018,0.012,0.005,0,0.013,0.002,0.014,1.00E-03,0.026
23.42,24.62,24.01,0.45,7434,91,9.031,0.111,0.043,0.003,0.118,0.018,0.127,1.00E-04,0.238
24.62,25.9,25.25,0.48,6859,88,7.647,0.098,0.037,0.002,0.1,0.015,0.108,1.00E-04,0.206
25.9,27.25,26.56,0.5,6516,86,6.757,0.089,0.033,0.002,0.089,0.014,0.096,1.00E-04,0.185
27.25,28.68,27.95,0.53,5881,82,5.747,0.08,0.028,0.002,0.076,0.011,0.082,1.00E-04,0.162
28.68,30.21,29.43,0.56,5541,79,5.063,0.072,0.025,0.001,0.067,0.01,0.072,1.00E-04,0.144
30.21,31.82,31,0.59,4902,75,4.273,0.065,0.022,0.001,0.057,0.009,0.061,1.00E-04,0.126
31.82,33.53,32.66,0.62,4487,72,3.681,0.059,0.019,0.001,0.049,0.007,0.053,1.00E-04,0.112
33.53,35.36,34.43,0.65,4059,68,3.126,0.052,0.016,0.001,0.042,0.006,0.045,1.00E-04,0.097
35.36,37.31,36.32,0.69,3810,66,2.754,0.048,0.015,0.001,0.037,0.006,0.04,1.00E-04,0.088
37.31,39.39,38.33,0.72,3423,63,2.328,0.043,0.013,0.001,0.031,0.005,0.034,1.00E-04,0.077
39.39,41.61,40.48,0.77,3142,60,2.004,0.038,0.011,0.001,0.027,0.004,0.03,1.00E-04,0.068
41.61,44,42.78,0.81,2897,58,1.723,0.034,0.01,0,0.023,0.003,0.026,1.00E-04,0.06
44,46.57,45.26,0.86,2607,55,1.446,0.03,0.009,0,0.02,0.003,0.022,1.00E-04,0.052
46.57,49.33,47.92,0.91,2558,54,1.323,0.028,0.009,0,0.018,0.003,0.02,1.00E-04,0.048
49.33,52.33,50.8,0.96,2155,50,1.029,0.024,0.007,0,0.014,0.002,0.016,1.00E-04,0.04
52.33,55.58,53.92,1.02,2005,48,8.86,0.214,0.063,0.002,0.121,0.018,0.137,1.00E-05,0.351
55.58,59.13,57.32,1.08,1864,47,7.558,0.189,0.056,0.002,0.103,0.015,0.118,1.00E-05,0.307
59.13,63.02,61.03,1.16,1645,44,6.115,0.164,0.047,0.001,0.084,0.012,0.097,1.00E-05,0.261
63.02,67.3,65.11,1.23,1626,44,5.502,0.149,0.044,0.001,0.075,0.011,0.088,1.00E-05,0.237
67.3,72.05,69.62,1.32,1427,41,4.367,0.126,0.036,0.001,0.06,0.009,0.071,1.00E-05,0.197
72.05,77.37,74.65,1.41,1399,41,3.826,0.111,0.033,0.001,0.052,0.008,0.062,1.00E-05,0.173
77.37,83.36,80.29,1.52,1234,38,3.013,0.094,0.027,0.001,0.041,0.006,0.05,1.00E-05,0.144
83.36,90.19,86.69,1.64,1168,38,2.511,0.081,0.024,0.002,0.034,0.005,0.042,1.00E-05,0.123
90.19,98.08,94.02,1.78,1090,36,2.037,0.068,0.02,0.001,0.028,0.004,0.035,1.00E-05,0.103
98.1,107.3,102.6,1.9,913,37,1.461,0.059,0.015,0.002,0.02,0.003,0.025,1.00E-05,0.084
107.3,118.4,112.7,2.1,871,36,1.173,0.048,0.012,0.001,0.016,0.002,0.02,1.00E-05,0.068
118.4,132.1,125,2.4,789,34,8.677,0.376,0.09,0.014,0.12,0.017,0.151,1.00E-06,0.527
132.1,148.8,140.1,2.7,741,32,6.998,0.303,0.075,0.012,0.099,0.014,0.125,1.00E-06,0.428
148.8,169.9,158.9,3,613,30,4.595,0.221,0.051,0.012,0.065,0.009,0.084,1.00E-06,0.305
169.9,197.7,183.1,3.5,556,28,3.201,0.163,0.037,0.011,0.046,0.006,0.06,1.00E-06,0.223
197.7,237.2,216.2,4.2,405,24,1.871,0.111,0.022,0.012,0.029,0.004,0.039,1.00E-06,0.15
237.2,290,261.8,5.1,330,22,1.158,0.077,0.014,0.012,0.019,0.002,0.026,1.00E-06,0.103
290,370,326.8,6.4,214,18,5.773,0.496,0.071,0.089,0.097,0.012,0.15,1.00E-07,0.646
370,500,428.5,8.6,146,17,2.491,0.286,0.031,0.072,0.045,0.005,0.091,1.00E-07,0.377
500,700,588.8,12.2,71,14,8.312,1.675,0.548,0.512,0.175,0.017,0.77,1.00E-08,2.445
700,1000,832.3,18.3,23,13,1.927,1.087,0.258,0.358,0.049,0.004,0.444,1.00E-08,1.531
