,Rigidity,Ratio,Total sig
0,1.08,0.0023390323754092397,0.00010934099386780548
1,1.245,0.0019133483596293513,7.471094701226771e-05
2,1.42,0.0015734771740560452,5.325087488661441e-05
3,1.6099999999999999,0.0013095676824946849,3.94591849701721e-05
4,1.815,0.0010945608002500783,3.060462294748448e-05
5,2.035,0.0009416431593794077,2.52686034980435e-05
6,2.275,0.0008074194202310969,2.1570660472878644e-05
7,2.535,0.000711864406779661,1.8704714481790035e-05
8,2.8200000000000003,0.0006460348162475822,1.726649004314752e-05
9,3.13,0.0005907903331156107,1.537781558652213e-05
10,3.465,0.0005402567094515752,1.405180391468071e-05
11,3.83,0.0004983682983682984,1.3269217185301101e-05
12,4.225,0.0004613827993254638,1.2235117024836321e-05
13,4.654999999999999,0.0004285324232081911,1.1574415543570688e-05
14,5.125,0.00041127819548872184,1.1150055590103079e-05
15,5.635,0.00039983554322129723,1.1037369470804557e-05
16,6.1850000000000005,0.0003828491690980591,1.0597764730855642e-05
17,6.779999999999999,0.0003776487207659708,1.0623153823902998e-05
18,7.425,0.0003697936940443753,1.0575837518964704e-05
19,8.120000000000001,0.0003696545059193042,1.045295923180705e-05
20,8.870000000000001,0.00037286100270189133,1.0822616359821733e-05
21,9.68,0.00037588652482269504,1.0880528618967067e-05
22,10.55,0.0003852436194895592,1.1317919261847214e-05
23,11.5,0.0003996533795493934,1.1897231341617381e-05
24,12.5,0.0004063082437275986,1.2464742230957981e-05
25,13.55,0.00041015901060070673,1.2642887912197682e-05
26,14.7,0.0004227108631440761,1.3149388027204757e-05
27,15.950000000000001,0.0004430259405133777,1.3990467993472283e-05
28,17.3,0.0004584246921909259,1.4709623557176747e-05
29,18.75,0.00048031001256807713,1.5428012262343385e-05
30,20.3,0.0005020779220779221,1.6252656434474618e-05
31,21.950000000000003,0.0005356913183279743,1.7856928691804265e-05
32,23.75,0.0005802075019952116,1.9523136491574258e-05
33,25.7,0.0006030799801291605,2.1092160766246426e-05
34,27.75,0.0006253071253071253,2.1731945257743785e-05
35,29.950000000000003,0.0006862462006079027,2.4342670522260506e-05
36,32.3,0.0007173545966228893,2.6053983082766312e-05
37,34.8,0.0007812463868655336,2.906763127339234e-05
38,37.5,0.0008188942718723284,3.136812386761689e-05
39,40.4,0.0008879340582251841,3.428624612014392e-05
40,43.5,0.0009215009704550356,3.6711677071779544e-05
41,46.8,0.0009750993377483444,4.0001052585412924e-05
42,50.35,0.0010169160702667534,4.247177303799703e-05
43,54.150000000000006,0.001098086124401914,4.690922063750067e-05
44,58.2,0.00113671875,4.980850219726563e-05
45,62.55,0.0011971326164874553,5.420879313814914e-05
46,67.25,0.001258582907231556,5.853712674631476e-05
47,72.30000000000001,0.0012956989247311825,6.16882491232127e-05
48,77.7,0.0014500219202104338,6.977228927912395e-05
49,83.5,0.001382135661517797,7.043548818490285e-05
50,89.75,0.001460359320916433,7.566615951010649e-05
51,96.5,0.0015265602908503333,8.14327001259485e-05
52,104.0,0.0015253180344225491,8.488813614117549e-05
53,112.0,0.001691361819858592,9.469326665664335e-05
54,120.5,0.0016497922176048358,9.686154886051157e-05
55,130.0,0.0017903603182030886,0.0001060883526186676
56,141.0,0.0017702702702702704,0.00010956902848794741
57,153.5,0.0018724832214765102,0.00011964926504812098
58,167.5,0.0019363117870722433,0.0001273583541760037
59,183.5,0.0017891256429096252,0.00013134782434218113
60,201.5,0.0018711118200669965,0.00013980965721917924
61,222.0,0.0018114822546972857,0.00014178799778592318
62,246.0,0.001929418251998897,0.00015364516759964878
63,275.0,0.0017183994016454745,0.00014812085575437924
64,310.5,0.0016724137931034483,0.00015233488271538213
65,354.5,0.001393149664929263,0.00014384783292092863
66,410.0,0.0012928435860221053,0.0001479031302459573
67,483.0,0.0010036509040333797,0.00014075019077841464
68,584.0,0.0007258158508158507,0.00013290032859525865
69,732.5,0.0004363254593175852,0.00014415037096740857
70,976.0,0.00021250551389501542,0.00017774063688576376
